event_id,timestamp,scenario,description,destination_port,flow_duration,total_fwd_packets,total_backward_packets,flow_bytes_per_sec,flow_packets_per_sec,protocol,rule_flag,rule_level,expected_behavior
lab-001,2026-05-08T09:00:00Z,benign_activity,Normál HTTP böngészési jellegű flow,80,12500,12,10,1500.0,18.0,6,false,0,Alacsonyabb kockázati prioritás várható.
lab-002,2026-05-08T09:00:05Z,benign_activity,Normál HTTPS szolgáltatáselérés,443,22000,18,17,3200.0,22.0,6,false,0,Alacsonyabb kockázati prioritás várható.
lab-003,2026-05-08T09:00:10Z,benign_activity,DNS lekérdezés mérsékelt forgalommal,53,800,2,2,700.0,8.0,17,false,0,Alacsonyabb kockázati prioritás várható.
lab-004,2026-05-08T09:00:15Z,benign_activity,Rövid belső alkalmazásforgalom,8080,9000,8,7,1100.0,14.0,6,false,0,Alacsonyabb kockázati prioritás várható.
lab-005,2026-05-08T09:01:00Z,port_scan,Rövid kapcsolat FTP portra port scan jelleggel,21,450,3,0,18000.0,95.0,6,true,5,Legalább közepes kockázati prioritás várható.
lab-006,2026-05-08T09:01:03Z,port_scan,Rövid kapcsolat Telnet portra port scan jelleggel,23,380,3,0,21000.0,110.0,6,true,5,Legalább közepes kockázati prioritás várható.
lab-007,2026-05-08T09:01:06Z,port_scan,Rövid kapcsolat SMTP portra port scan jelleggel,25,420,4,1,24000.0,120.0,6,true,5,Legalább közepes kockázati prioritás várható.
lab-008,2026-05-08T09:01:09Z,port_scan,Rövid kapcsolat magas portra port scan jelleggel,65000,350,4,0,28000.0,150.0,6,true,5,Magasabb kockázati prioritás várható.
lab-009,2026-05-08T09:02:00Z,ssh_bruteforce,Ismétlődő SSH kapcsolati kísérlet,22,3200,18,4,6500.0,70.0,6,true,10,Magas vagy kritikus kockázati prioritás várható.
lab-010,2026-05-08T09:02:04Z,ssh_bruteforce,Második SSH brute force jellegű kísérlet,22,2900,20,3,7200.0,82.0,6,true,10,Magas vagy kritikus kockázati prioritás várható.
lab-011,2026-05-08T09:02:08Z,ssh_bruteforce,Harmadik SSH brute force jellegű kísérlet,22,2600,24,3,8400.0,96.0,6,true,10,Magas vagy kritikus kockázati prioritás várható.
lab-012,2026-05-08T09:02:12Z,ssh_bruteforce,Negyedik SSH brute force jellegű kísérlet,22,2400,28,2,9300.0,105.0,6,true,10,Magas vagy kritikus kockázati prioritás várható.
lab-013,2026-05-08T09:03:00Z,combined_suspicious,Magas csomagráta és szabályjelzés RDP jellegű portra,3389,1800,65,5,26000.0,170.0,6,true,10,Kritikus vagy magas kockázati prioritás várható.
lab-014,2026-05-08T09:03:04Z,combined_suspicious,Magas port és intenzív forgalmi arány,49152,1200,48,2,31000.0,190.0,6,true,10,Kritikus vagy magas kockázati prioritás várható.
lab-015,2026-05-08T09:03:08Z,combined_suspicious,Rövid UDP flow magas csomagrátával,161,650,30,1,19000.0,160.0,17,true,5,Legalább közepes kockázati prioritás várható.
lab-016,2026-05-08T09:03:12Z,combined_suspicious,Webes porton szokatlanul nagy forgalmi intenzitás,443,1500,80,8,45000.0,210.0,6,true,5,Legalább közepes kockázati prioritás várható.
lab-017,2026-05-08T09:04:00Z,benign_activity,Hosszabb kiegyensúlyozott HTTPS flow,443,60000,30,32,2800.0,12.0,6,false,0,Alacsonyabb kockázati prioritás várható.
lab-018,2026-05-08T09:04:04Z,port_scan,Rövid kapcsolat adminisztrációs portra,8443,500,5,0,30000.0,135.0,6,true,5,Magasabb kockázati prioritás várható.
lab-019,2026-05-08T09:04:08Z,ssh_bruteforce,Ötödik SSH brute force jellegű kísérlet,22,2100,32,2,10200.0,118.0,6,true,10,Magas vagy kritikus kockázati prioritás várható.
lab-020,2026-05-08T09:04:12Z,combined_suspicious,Magas port szabályjelzés és intenzív forgalom,62000,900,55,1,52000.0,230.0,6,true,10,Kritikus vagy magas kockázati prioritás várható.
