check_id,category,status,message,recommendation
zip_exists,zip,PASS,ZIP elérhető: dist/submission/ai_powered_ids_runtime_bundle.zip,
zip_file_count,zip,PASS,Becsomagolt fájlok száma: 403,
forbidden_paths,security,PASS,Nincs tiltott cache/env/key/cert útvonal a ZIP-ben.,
sensitive_content,security,PASS,Nem találtam jelszó/token/private key/cert mintát.,
required_README.md,required_content,PASS,README.md szerepel a ZIP-ben.,
required_Makefile,required_content,PASS,Makefile szerepel a ZIP-ben.,
required_requirements-dev.txt,required_content,PASS,requirements-dev.txt szerepel a ZIP-ben.,
required_ml_src,required_content,PASS,ml/src szerepel a ZIP-ben.,
required_ml_tests,required_content,PASS,ml/tests szerepel a ZIP-ben.,
required_experiments_final_ae_minimal.yaml,required_content,PASS,experiments/final/ae_minimal.yaml szerepel a ZIP-ben.,
required_experiments_final_ae_context.yaml,required_content,PASS,experiments/final/ae_context.yaml szerepel a ZIP-ben.,
required_docs,required_content,PASS,docs szerepel a ZIP-ben.,
required_templates_lab,required_content,PASS,templates/lab szerepel a ZIP-ben.,
required_artifacts_final_final-ae-minimal-v1,required_content,PASS,artifacts/final/final-ae-minimal-v1 szerepel a ZIP-ben.,
required_data_processed_final_ae_minimal_preprocess.pkl,required_content,PASS,data/processed/final/ae_minimal/preprocess.pkl szerepel a ZIP-ben.,
required_reports_real_measurement,required_content,PASS,reports/real_measurement szerepel a ZIP-ben.,
required_reports_real_measurement_qa,required_content,PASS,reports/real_measurement_qa szerepel a ZIP-ben.,
required_reports_measurement_quality,required_content,PASS,reports/measurement_quality szerepel a ZIP-ben.,
required_results_wazuh_real,required_content,PASS,results/wazuh_real szerepel a ZIP-ben.,
required_results_ae_lab,required_content,PASS,results/ae_lab szerepel a ZIP-ben.,
required_results_hybrid_real,required_content,PASS,results/hybrid_real szerepel a ZIP-ben.,
required_results_real_comparison,required_content,PASS,results/real_comparison szerepel a ZIP-ben.,
required_data_lab_lab_ground_truth.csv,required_content,PASS,data/lab/lab_ground_truth.csv szerepel a ZIP-ben.,
required_data_lab_lab_features.csv,required_content,PASS,data/lab/lab_features.csv szerepel a ZIP-ben.,
required_data_lab_zeek_conn.log,required_content,PASS,data/lab/zeek/conn.log szerepel a ZIP-ben.,
required_data_lab_flows.csv,required_content,WARN,"data/lab/flows.csv nem létezik a forrásfában, ezért nem került ZIP-be.",Optional flow-CSV input; Zeek conn.log is the measured input when this is absent.
required_data_wazuh_alerts.jsonl,required_content,PASS,data/wazuh/alerts.jsonl szerepel a ZIP-ben.,
required_raw_wazuh_export.json,required_content,WARN,"raw/wazuh_export.json nem létezik a forrásfában, ezért nem került ZIP-be.",Optional raw manual Wazuh export; normalized alerts.jsonl is sufficient when this is absent.
